읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이낙연,미래통합당황교안,우리공화당한민호,민중당오인환,가자!평화인권당이정희,공화당신동욱,국가혁명배당금당박준영,국민새정당백병찬,민중민주당박소현,한나라당김형석,무소속김용덕,계,무효투표수,기권수
합계,,134516,95239,54902,37594,417,276,139,57,194,65,63,71,260,94038,1201,39277
거소·선상투표,,251,237,135,81,1,0,1,0,5,0,0,0,3,226,11,14
관외사전투표,,10007,9994,6472,3169,31,34,15,7,25,7,10,11,42,9823,171,13
국외부재자투표,,1177,321,232,80,1,0,0,1,0,0,0,1,2,317,4,856
국외부재자투표(공관),,0,12,11,1,0,0,0,0,0,0,0,0,0,12,0,-12
청운효자동,소계,9661,7013,4151,2690,22,19,16,6,15,7,5,4,18,6953,60,2648
,관내사전투표,3185,3184,2253,878,5,7,4,1,9,1,1,1,7,3167,17,1
,청운효자동제1투,2253,1261,586,634,6,5,5,1,2,2,1,0,3,1245,16,992
,청운효자동제2투,2077,1220,576,606,6,3,2,2,2,2,2,2,4,1207,13,857
,청운효자동제3투,2146,1348,736,572,5,4,5,2,2,2,1,1,4,1334,14,798
사직동,소계,7751,5452,2620,2682,32,10,10,2,5,3,4,4,7,5379,73,2299
,관내사전투표,2549,2549,1502,1007,9,7,2,1,4,2,3,0,1,2538,11,0
,사직동제1투,2169,1064,485,536,10,2,4,1,0,0,1,1,2,1042,22,1105
,사직동제2투,3033,1839,633,1139,13,1,4,0,1,1,0,3,4,1799,40,1194
삼청동,소계,2237,1507,832,632,9,3,1,1,3,0,2,3,3,1489,18,730
,관내사전투표,745,745,489,243,1,1,0,0,1,0,1,1,2,739,6,0
,삼청동투표소,1492,762,343,389,8,2,1,1,2,0,1,2,1,750,12,730
부암동,소계,7850,5577,3101,2340,38,12,1,3,6,2,2,1,15,5521,56,2273
,관내사전투표,2147,2147,1405,705,6,3,1,3,2,0,1,0,2,2128,19,0
,부암동제1투,2287,1260,631,591,7,3,0,0,0,2,0,0,6,1240,20,1027
,부암동제2투,1931,1253,651,568,8,5,0,0,2,0,1,0,6,1241,12,678
,부암동제3투,1485,917,414,476,17,1,0,0,2,0,0,1,1,912,5,568
평창동,소계,14595,10441,4891,5316,56,18,14,3,9,5,2,4,24,10342,99,4154
,관내사전투표,3977,3977,2336,1581,10,3,5,0,3,3,1,1,7,3950,27,0
,평창동제1투,2166,1177,484,661,11,1,3,0,0,1,0,0,4,1165,12,989
,평창동제2투,3159,1868,589,1235,15,4,3,1,0,1,0,0,5,1853,15,1291
,평창동제3투,1873,1272,525,714,4,4,2,0,3,0,0,2,3,1257,15,601
,평창동제4투,1795,1206,590,574,11,5,1,2,3,0,0,1,1,1188,18,589
,평창동제5투,1625,941,367,551,5,1,0,0,0,0,1,0,4,929,12,684
무악동,소계,6616,5093,2828,2124,18,14,10,2,13,2,4,1,12,5028,65,1523
,관내사전투표,2453,2451,1569,829,7,7,2,0,1,0,2,1,6,2424,27,2
,무악동제1투,1647,1146,537,571,5,2,3,0,3,1,2,0,4,1128,18,501
,무악동제2투,2516,1496,722,724,6,5,5,2,9,1,0,0,2,1476,20,1020
교남동,소계,8311,6174,3406,2599,32,12,9,2,9,4,2,2,15,6092,82,2137
,관내사전투표,2572,2572,1667,858,6,5,3,1,2,1,1,0,3,2547,25,0
,교남동제1투,1565,864,477,352,7,2,1,0,4,2,0,0,5,850,14,701
,교남동제2투,1576,830,460,331,10,3,1,1,1,0,0,2,2,811,19,746
,교남동제3투,2598,1908,802,1058,9,2,4,0,2,1,1,0,5,1884,24,690
가회동,소계,3873,2809,1661,1079,15,7,6,0,4,3,1,2,5,2783,26,1064
,관내사전투표,1589,1588,1030,527,6,4,1,0,3,2,1,1,4,1579,9,1
,가회동투표소,2284,1221,631,552,9,3,5,0,1,1,0,1,1,1204,17,1063
종로1·2·3·4가동,소계,6167,3465,1809,1531,24,14,4,5,24,1,3,3,8,3426,39,2702
,관내사전투표,1212,1212,756,420,1,7,0,1,7,1,2,2,4,1201,11,0
,종로1·2·3·4가동제1투,2283,854,356,462,7,4,3,1,8,0,1,0,2,844,10,1429
,종로1·2·3·4가동제2투,2672,1399,697,649,16,3,1,3,9,0,0,1,2,1381,18,1273
종로5·6가동,소계,4599,2857,1612,1152,15,10,4,3,8,4,4,3,7,2822,35,1742
,관내사전투표,1199,1199,773,394,5,6,1,2,2,2,0,1,2,1188,11,0
,종로5·6가동제1투,1850,893,412,444,6,2,1,1,4,2,4,2,2,880,13,957
,종로5·6가동제2투,1550,765,427,314,4,2,2,0,2,0,0,0,3,754,11,785
이화동,소계,6794,4585,2822,1624,17,22,3,3,7,5,3,4,9,4519,66,2209
,관내사전투표,2144,2144,1479,615,6,9,1,1,2,1,0,1,1,2116,28,0
,이화동제1투,2310,1305,740,517,5,3,2,2,2,2,2,3,3,1281,24,1005
,이화동제2투,2340,1136,603,492,6,10,0,0,3,2,1,0,5,1122,14,1204
혜화동,소계,13564,9675,5666,3667,41,46,20,5,20,6,13,8,29,9521,154,3889
,관내사전투표,4338,4334,2888,1329,10,13,8,1,9,4,2,3,7,4274,60,4
,혜화동제1투,2242,1396,761,584,4,8,3,2,2,0,3,2,2,1371,25,846
,혜화동제2투,2243,1207,616,547,3,5,3,1,2,0,3,0,5,1185,22,1036
,혜화동제3투,1945,1139,531,562,10,11,2,0,5,0,1,0,4,1126,13,806
,혜화동제4투,1430,845,472,331,5,4,1,1,0,1,3,2,5,825,20,585
,혜화동제5투,1366,754,398,314,9,5,3,0,2,1,1,1,6,740,14,612
창신제1동,소계,4784,3103,1957,1057,13,8,5,3,8,4,1,4,9,3069,34,1681
,관내사전투표,1469,1469,1012,424,4,3,0,1,2,2,0,2,2,1452,17,0
,창신제1동제1투,1100,394,208,167,3,2,1,1,3,1,0,2,1,389,5,706
,창신제1동제2투,2215,1240,737,466,6,3,4,1,3,1,1,0,6,1228,12,975
창신제2동,소계,7287,4600,3015,1448,9,9,6,7,15,4,1,5,11,4530,70,2687
,관내사전투표,1630,1630,1191,393,1,3,2,5,6,1,0,1,7,1610,20,0
,창신제2동제1투,1606,755,469,265,1,2,0,0,5,0,0,2,4,748,7,851
,창신제2동제2투,2135,1234,709,486,3,2,3,2,2,1,1,0,0,1209,25,901
,창신제2동제3투,1916,981,646,304,4,2,1,0,2,2,0,2,0,963,18,935
창신제3동,소계,5806,4127,2539,1504,11,12,4,0,2,3,3,5,7,4090,37,1679
,관내사전투표,1806,1806,1241,531,5,6,3,0,1,2,2,0,3,1794,12,0
,창신제3동제1투,1545,758,453,287,3,1,1,0,1,1,0,2,0,749,9,787
,창신제3동제2투,2455,1563,845,686,3,5,0,0,0,0,1,3,4,1547,16,892
숭인제1동,소계,5064,3262,1971,1204,13,8,4,1,5,4,2,3,12,3227,35,1802
,관내사전투표,1502,1502,1007,457,6,6,2,0,2,3,0,1,3,1487,15,0
,숭인제1동제1투,2036,927,493,408,3,0,1,1,2,0,2,0,5,915,12,1109
,숭인제1동제2투,1526,833,471,339,4,2,1,0,1,1,0,2,4,825,8,693
숭인제2동,소계,8122,4927,3165,1612,19,18,6,3,11,1,1,3,22,4861,66,3195
,관내사전투표,2127,2127,1495,586,4,7,3,1,3,0,1,1,5,2106,21,0
,숭인제2동제1투,1997,926,532,352,6,6,1,2,3,1,0,0,7,910,16,1071
,숭인제2동제2투,2119,907,542,337,3,4,0,0,4,0,0,1,5,896,11,1212
,숭인제2동제3투,1879,967,596,337,6,1,2,0,1,0,0,1,5,949,18,912
잘못 투입·구분된 투표지,,0,8,6,2,0,0,0,0,0,0,0,0,0,8,0,-8
